Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,148128030,1897.5420839967514,5793088,74.21031844072031,702752,3124905,40.03049757693982,91258,1.169028545788232,12172,
United States of America,Americas,31783375,9602.15,376186,113.65,40461,567327,171.4,4872,1.47,485,Community transmission
India,South-East Asia,17997267,1304.15,2381137,172.55,360960,201187,14.58,18634,1.35,3293,Clusters of cases
Brazil,Americas,14369423,6760.19,395728,186.17,28636,391936,184.39,17254,8.12,1139,Community transmission
France,Europe,5417903,8330.19,203410,312.75,4914,102575,157.71,2039,3.14,391,Community transmission
Russian Federation,Europe,4779425,3275.05,60571,41.51,8053,108980,74.68,2673,1.83,392,Clusters of cases
Turkey,Europe,4667281,5533.95,343685,407.5,37312,38711,45.9,2444,2.9,353,Community transmission
The United Kingdom,Europe,4406950,6491.69,16163,23.81,2064,127434,187.72,160,0.24,6,Community transmission
Italy,Europe,3971114,6658.31,92120,154.46,8440,119539,200.43,2296,3.85,301,Clusters of cases
Spain,Europe,3488469,7370.12,54355,114.84,2160,77738,164.24,241,0.51,8,Community transmission
Germany,Europe,3310301,3980.32,146993,176.74,10976,81968,98.56,1665,2,344,Community transmission
Argentina,Americas,2879677,6371.56,165202,365.53,18793,62087,137.37,2611,5.78,443,Community transmission
Colombia,Americas,2787303,5477.88,120167,236.16,12839,71799,141.11,3051,6,448,Community transmission
Poland,Europe,2768034,7292.33,63463,167.19,5711,65897,173.6,3163,8.33,460,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,2438193,2902.85,151266,180.09,20963,70532,83.97,3007,3.58,462,Community transmission
Mexico,Americas,2329534,1806.78,22624,17.55,1143,215113,166.84,2647,2.05,166,Community transmission
Ukraine,Europe,2038248,4660.58,76292,174.45,7915,42950,98.21,2583,5.91,432,Community transmission
Peru,Americas,1768186,5362.71,60399,183.18,6611,60013,182.01,2476,7.51,289,Community transmission
Indonesia,South-East Asia,1651794,603.89,36945,13.51,4656,44939,16.43,1162,0.42,168,Community transmission
Czechia,Europe,1622777,15174.74,16747,156.6,2571,29075,271.88,435,4.07,73,Community transmission
South Africa,Africa,1577200,2659.31,8834,14.89,880,54237,91.45,350,0.59,51,Community transmission
Netherlands,Europe,1467337,8429.3,56581,325.04,6257,17062,98.01,125,0.72,13,Community transmission
Canada,Americas,1187918,3147.46,56145,148.76,8932,24024,63.65,357,0.95,59,Community transmission
